Time(s),MeltPoolWidth(um)
0.00E+00,0
2.00E-05,107.1803
4.00E-05,122.69597
6.00E-05,144.82633
8.00E-05,159.70823
1.00E-04,165.06973
1.20E-04,173.14393
1.40E-04,184.41833
1.60E-04,192.1695
1.80E-04,199.26427
2.00E-04,202.3771
2.20E-04,212.1846
2.40E-04,219.5537
2.60E-04,223.98437
2.80E-04,240.2406
3.00E-04,248.08403
3.20E-04,261.65563
3.40E-04,272.3733
3.60E-04,276.3938
3.80E-04,281.72957
4.00E-04,293.15757
4.20E-04,301.74467
4.40E-04,317.406
4.60E-04,329.09533
4.80E-04,317.61333
5.00E-04,316.0135
5.20E-04,317.134
5.40E-04,319.4725
5.60E-04,327.83133
5.80E-04,328.0469
6.00E-04,330.7955
6.20E-04,330.916
6.40E-04,331.8826
6.60E-04,337.939
6.80E-04,346.45953
7.00E-04,350.5441
7.20E-04,350.1416
7.40E-04,355.02623
7.60E-04,361.40833
7.80E-04,369.8337
8.00E-04,377.603
8.20E-04,382.644
8.40E-04,389.76943
8.60E-04,384.3746
8.80E-04,393.7308
9.00E-04,392.61543
9.20E-04,399.1667
9.40E-04,400.7667
9.60E-04,396.4976
9.80E-04,395.7823
1.00E-03,376.51367
1.02E-03,402.69747
1.04E-03,406.41783
1.06E-03,416.16153
1.08E-03,414.1972
1.10E-03,413.88693
1.12E-03,440.18137
1.14E-03,425.0634
1.16E-03,424.63287
1.18E-03,426.7406
1.20E-03,424.99437
1.22E-03,435.73787
1.24E-03,428.83543
1.26E-03,421.67153
1.28E-03,431.82003
1.30E-03,431.23027
1.32E-03,448.78147
1.34E-03,456.96887
1.36E-03,448.30993
1.38E-03,440.16317
1.40E-03,425.79937
1.42E-03,443.46087
1.44E-03,461.94767
1.46E-03,453.63747
1.48E-03,443.8404
1.50E-03,461.61227
1.52E-03,457.93257
1.54E-03,457.2812
1.56E-03,447.93033
1.58E-03,463.66057
1.60E-03,473.9193
1.62E-03,504.05023
1.64E-03,507.87287
1.66E-03,475.67763
1.68E-03,490.91587
1.70E-03,500.662
1.72E-03,505.15173
1.74E-03,494.4081
1.76E-03,500.63117
1.78E-03,505.59517
1.80E-03,504.98003
1.82E-03,497.7007
1.84E-03,508.56183
1.86E-03,505.92067
1.88E-03,505.04117
1.90E-03,515.27437
1.92E-03,502.4593
1.94E-03,474.94767
1.96E-03,503.20107
,505.28323
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
